Location,Stake,Ward,AdultVolunteer,YouthVolunteer,Bags,RouteTime,MultiRoute,CompletedRoutes,RouteDoors,OverallTime,Neighbourhood,ID,Latitude,Longitude
Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,150,150,Yes,6,180,150,Crawford Plains,499,53.44341912,-113.4026104
Riverbend Stake Centre,Riverbend Stake,Drayton Valley Ward,4,0,80,120,Yes,4,400,90,Drayton Valley,449,,
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,3,25,35,No,1,19,33,Ellerslie,21,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,3,65,65,Yes,3,65,65,Ellerslie,53,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,0,11,15,No,1,165,15,Ellerslie,207,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,3,1,18,23,No,1,180,23,Ellerslie,237,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,1,45,90,Yes,1,180,90,Ellerslie,239,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,3,1,28,27,No,1,184,27,Ellerslie,242,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,4,14,30,No,1,190,31,Ellerslie,249,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,0,26,40,Yes,2,191,36,Ellerslie,250,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,1,22,50,No,1,191,50,Ellerslie,252,53.42974399,-113.448084
Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,20,60,No,1,197,60,Ellerslie,260,53.42974399,-113.448084
